id;gender;age;state;candidate
1840;M;42;WI;Violet Brown
1841;M;23;NY;Violet Brown
1842;F;47;FL;Violet Brown
1843;F;43;IN;John Green
1844;F;35;NM;Violet Brown
1845;F;19;PA;Violet Brown
1846;M;64;NV;John Green
1847;M;26;NM;Violet Brown
1848;F;60;TN;John Green
1849;M;23;FL;John Green
1850;M;57;IN;John Green
1851;M;38;MI;John Green
1852;F;23;VA;Violet Brown
1853;F;44;AK;John Green
1854;F;63;MS;John Green
1855;M;44;LA;John Green
1856;F;66;SC;Violet Brown
1857;F;46;KS;Violet Brown
1858;M;70;IL;John Green
1859;F;27;WV;Violet Brown
1860;F;61;IN;Violet Brown
1861;F;38;LA;John Green
1862;M;23;MD;John Green
1863;F;52;NM;Violet Brown
1864;M;54;KS;Violet Brown
1865;M;21;MD;Violet Brown
1866;M;60;TX;John Green
1867;M;54;NH;Violet Brown
1868;M;49;TN;John Green
1869;F;19;LA;Violet Brown
1870;F;35;NJ;John Green
1871;M;61;VA;Violet Brown
1872;F;65;SD;John Green
1873;M;60;SD;John Green
1874;M;44;WA;Violet Brown
1875;M;69;IA;Violet Brown
1876;F;39;AZ;John Green
1877;F;28;FL;Violet Brown
1878;M;23;FL;Violet Brown
1879;M;27;VT;Violet Brown
1880;F;46;AK;Violet Brown
1881;F;26;PA;John Green
1882;M;26;TN;Violet Brown
1883;F;25;SD;John Green
1884;F;49;NM;John Green
1885;M;35;AR;John Green
1886;M;27;NJ;John Green
1887;F;18;NH;Violet Brown
1888;F;29;OR;John Green
1889;F;51;OH;Violet Brown
1890;F;63;NY;Violet Brown
1891;M;57;WI;John Green
1892;M;70;KY;Violet Brown
1893;M;33;TX;Violet Brown
1894;F;65;ME;John Green
1895;F;48;KY;Violet Brown
1896;F;58;RI;John Green
1897;M;58;NJ;John Green
1898;M;37;LA;Violet Brown
1899;F;22;NY;Violet Brown
1900;F;32;KS;John Green
1901;M;34;NJ;John Green
1902;F;23;OH;Violet Brown
1903;F;67;OR;Violet Brown
1904;M;61;MA;Violet Brown
1905;M;42;SC;John Green
1906;M;37;PA;Violet Brown
1907;F;28;OR;Violet Brown
1908;F;28;CA;Violet Brown
1909;F;31;WV;Violet Brown
1910;M;59;SD;Violet Brown
1911;M;19;NE;Violet Brown
1912;F;61;NV;John Green
1913;F;68;NC;Violet Brown
1914;M;19;VT;John Green
1915;M;65;HI;Violet Brown
1916;M;31;LA;John Green
1917;F;47;NJ;John Green
1918;M;20;AR;John Green
1919;F;34;IL;Violet Brown
1920;F;47;ME;John Green
1921;F;61;NC;Violet Brown
1922;M;53;WA;Violet Brown
1923;M;35;WY;John Green
1924;M;21;MA;Violet Brown
1925;F;50;CO;Violet Brown
1926;M;21;NH;John Green
1927;F;67;IN;John Green
1928;M;33;WI;John Green
1929;F;31;NC;John Green
1930;M;41;AK;Violet Brown
1931;M;58;UT;John Green
1932;F;34;ME;John Green
1933;F;35;NM;John Green
1934;M;34;MI;Violet Brown
1935;F;35;MA;John Green
1936;M;49;OK;John Green
1937;M;33;ND;John Green
1938;F;58;NV;Violet Brown
1939;M;61;NJ;John Green
1940;M;28;NE;Violet Brown
1941;M;40;IL;Violet Brown
1942;M;34;SD;Violet Brown
1943;F;31;AR;Violet Brown
1944;M;50;MT;John Green
1945;F;24;HI;John Green
1946;F;35;NM;Violet Brown
1947;M;70;NJ;Violet Brown
1948;M;42;ID;John Green
1949;M;40;RI;Violet Brown
1950;M;54;IA;Violet Brown
1951;F;25;TX;John Green
1952;F;55;MS;Violet Brown
1953;M;50;VT;John Green
1954;M;25;MT;John Green
1955;F;21;ID;John Green
1956;F;33;MD;John Green
1957;F;59;NM;John Green
1958;F;52;MO;Violet Brown
1959;F;68;AR;Violet Brown
1960;M;24;WY;Violet Brown
1961;F;44;AL;Violet Brown
1962;F;38;MD;Violet Brown
1963;F;31;UT;Violet Brown
1964;F;55;ID;John Green
1965;M;32;UT;John Green
1966;M;20;WI;Violet Brown
1967;F;20;TN;John Green
1968;M;20;AR;John Green
1969;F;30;NC;Violet Brown
1970;M;58;AL;Violet Brown
1971;F;69;NH;Violet Brown
1972;M;68;IN;Violet Brown
1973;F;56;WV;Violet Brown
1974;F;69;NV;Violet Brown
1975;M;41;TX;Violet Brown
1976;F;20;KY;Violet Brown
1977;M;20;NJ;John Green
1978;F;35;WY;Violet Brown
1979;M;67;OR;John Green
1980;F;35;WY;Violet Brown
1981;M;70;ID;Violet Brown
1982;F;62;VT;Violet Brown
1983;F;61;IN;John Green
1984;M;26;SD;John Green
1985;F;55;SC;Violet Brown
1986;M;54;OR;John Green
1987;M;62;SD;Violet Brown
1988;F;62;CO;Violet Brown
1989;F;54;MT;John Green
1990;F;55;HI;Violet Brown
1991;M;52;GA;John Green
1992;M;23;NY;Violet Brown
1993;M;68;CO;John Green
1994;F;62;SD;Violet Brown
1995;F;52;NJ;John Green
1996;M;23;IN;Violet Brown
1997;M;49;HI;Violet Brown
1998;F;51;IN;Violet Brown
1999;F;45;PA;John Green
2000;F;22;AL;Violet Brown
